id,name,master_category_id
131,Αντισηπτικά,
45,Pet shop/Τροφή γάτας,129
46,Pet shop/Τροφή σκύλου,129
47,Αλεύρι - Σιμιγδάλι,5
48,Αλλαντικά,5
9,Αναψυκτικά - Ενεργειακά Ποτά,3
24,Αντρική περιποίηση,4
114,Απορρυπαντικά,1
25,Αποσμητικά,4
49,Αυγά,5
27,Βαμβάκια,4
28,Βαφές μαλλιών,4
51,Βούτυρο - Μαργαρίνη,5
1,Βρεφικά Είδη,
118,Βρεφικές τροφές,1
117,Γάλα,1
52,Γάλα,5
129,Για κατοικίδια,
53,Γιαούρτια,5
54,Γλυκά αλλείματα,5
64,Γλυκά/Κέικ,5
57,Γλυκά/Σοκολάτες,5
58,Δημητριακά,5
6,Είδη γενικού καθαρισμού,2
55,Είδη Ζαχαροπλαστικής,5
7,Είδη κουζίνας - Μπάνιου,2
11,Εμφιαλωμένα νερά,3
29,Επίδεσμοι,4
59,Επιδόρπια,5
61,Έτοιμα γεύματα/Σαλάτες,5
62,Έτοιμα γεύματα/Σούπες,5
106,Ζάχαρη - Υποκατάστατα ζάχαρης,5
63,Ζυμαρικά,5
2,Καθαριότητα,
83,Καραμέλες - Τσίχλες,5
68,Κατεψυγμένα/Λαχανικά,5
66,Κατεψυγμένα/Πατάτες,5
69,Κατεψυγμένα/Πίτες,5
70,Κατεψυγμένα/Πίτσες,5
71,Κατεψυγμένα/Φύλλα - Βάσεις,5
67,Κατεψυγμένα/Ψάρια,5
72,Καφέδες,5
73,Κονσέρβες,5
13,Κρασιά,3
56,Κρέμα ημέρας,4
60,Κρέμα Σώματος,4
75,Κρέμες γάλακτος,5
30,Κρέμες ενυδάτωσης,4
31,Κρέμες μαλλιών,4
32,Κρεμοσάπουνα - Σαπούνι,4
85,Κύβοι,5
76,Λάδι,5
33,Λοιπά προϊόντα,4
130,Μπαχαρικά,5
8,Μπύρες,3
115,Μωρομάντηλα,1
84,Ξύδι,5
35,Ξυριστικά - Αποτριχωτικά,4
36,Οδοντόβουρτσες,4
79,Όσπρια,5
82,Παγωτά,5
116,Πάνες,1
37,Πάνες ενηλίκων,4
86,Πελτές τομάτας,5
38,Περιποίηση προσώπου,4
14,Ποτά,3
3,Ποτά - Αναψυκτικά,
87,Πουρές,5
39,Προϊόντα μαλλιών,4
4,Προσωπική φροντίδα,
40,Προφυλακτικά,4
88,Ροφήματα,5
90,Ρύζι,5
94,Σάλτσες - Dressings,5
44,Σαμπουάν - Αφρόλουτρα,4
41,Σερβιέτες,4
98,Σνάκς/Αρτοσκευάσματα,5
99,Σνάκς/Γαριδάκια,5
100,Σνάκς/Κρουασάν,5
101,Σνάκς/Μπισκότα,5
102,Σνάκς/Πατατάκια,5
103,Σνάκς/Ποπ κορν,5
42,Στοματικά διαλύματα,4
43,Στοματική υγιεινή,4
5,Τρόφιμα,
74,Τυποποιημένα κρεατικά,5
105,Τυριά,5
34,Υγρομάντηλα,4
107,Φούρνος/Κριτσίνια,5
108,Φούρνος/Παξιμάδια,5
110,Φούρνος/Τσουρέκια,5
109,Φούρνος/Φρυγανίες,5
112,Φούρνος/Ψωμί,5
21,Χαρτικά,2
23,Χυμοί,3
113,Χυμός τομάτας,5
132,Αντισηπτικά,131
