BARCODE,DATE,AB,EFRESH,LIDL,MASOUTIS,MYMARKET,SKLAVENITIS
5201263086618,01_03_2020,6.36,7.97,0,0,8.31,0
5201263086625,01_03_2020,7.58,9.53,0,0,9.91,0
7322540574852,01_03_2020,18.11,18.34,0,0,8.86,0
7322540647136,01_03_2020,18.8,18.95,0,0,18.9,0
7322540587555,01_03_2020,18.22,18.98,0,0,9.21,0
7322540034936,01_03_2020,8.42,8.54,0,0,4.13,0
5201263084133,01_03_2020,2.46,2.99,0,0,4.96,0
5201263083631,01_03_2020,6.87,6.95,0,0,6.91,0
8410104156237,01_03_2020,4.76,4.8,0,0,4.27,0
5000204731743,01_03_2020,4.92,5.1,0,0,5.0,0
5000204771800,01_03_2020,2.73,0.0,0,0,0.0,0
5201347489830,01_03_2020,4.73,4.8,0,0,14.31,0
4005808157952,01_03_2020,3.05,3.06,0,0,1.99,0
4005900008268,01_03_2020,4.8,4.87,0,0,3.21,0
5201310002233,01_03_2020,2.17,2.19,0,0,1.74,0
5201310704854,01_03_2020,2.69,2.72,0,0,2.65,0
5201310704861,01_03_2020,2.95,2.99,0,0,2.66,0
5201390003410,01_03_2020,1.93,1.95,0,0,1.95,0
5201314521419,01_03_2020,2.96,3.98,0,0,2.78,0
8711700605670,01_03_2020,7.67,7.76,0,0,5.9,0
5201498041215,01_03_2020,8.89,9.0,0,0,5.87,0
5201263016882,01_03_2020,3.93,4.79,0,0,4.33,0
5201263003288,01_03_2020,5.68,5.76,0,0,4.75,0
5201360655311,01_03_2020,1.11,1.08,0,0,0.97,0
5201347158668,01_03_2020,5.11,3.89,0,0,5.09,0
5201347158651,01_03_2020,5.11,3.89,0,0,5.13,0
8000700000005,01_03_2020,0.94,0.0,0,0,0.8,0
8693495008297,01_03_2020,1.44,2.96,0,0,1.47,0
8714789700977,01_03_2020,2.19,0.0,0,0,1.16,0
8712561594424,01_03_2020,4.51,6.59,0,0,4.69,0
5201261000197,01_03_2020,5.03,0.0,0,0,5.11,0
5201261001194,01_03_2020,6.22,6.28,0,0,4.91,0
5201261000203,01_03_2020,7.31,0.0,0,0,7.29,0
5201261000142,01_03_2020,5.31,5.38,0,0,4.37,0
5203076000010,01_03_2020,0.97,1.06,0,0,1.07,0
5200334220029,01_03_2020,5.58,0.0,0,0,4.42,0
5201309108182,01_03_2020,5.35,5.52,0,0,4.35,0
5201261031191,01_03_2020,3.92,4.92,0,0,4.86,0
5201261001149,01_03_2020,6.55,6.6,0,0,5.87,0
5201261000036,01_03_2020,0.89,0.9,0,0,0.73,0
5201261031108,01_03_2020,4.28,4.88,0,0,4.58,0
5200334210013,01_03_2020,1.14,1.3,0,0,1.24,0
5201004040541,01_03_2020,0.77,0.78,0,0,0.76,0
5201004020338,01_03_2020,3.11,3.14,0,0,3.05,0
5201004041272,01_03_2020,1.27,1.28,0,0,0.96,0
5201004025319,01_03_2020,2.51,2.55,0,0,2.61,0
5203064045009,01_03_2020,1.08,0.0,0,0,1.83,0
5203064044880,01_03_2020,0.0,0.0,0,0,1.7,0
5201004020758,01_03_2020,1.85,1.87,0,0,1.83,0
5201004221766,01_03_2020,1.94,1.94,0,0,2.17,0
5201004040633,01_03_2020,0.92,1.1,0,0,0.8,0
5201004040626,01_03_2020,1.07,1.08,0,0,0.91,0
5201004042262,01_03_2020,1.24,1.26,0,0,1.25,0
5201004042675,01_03_2020,2.42,3.06,0,0,2.74,0
5201004042644,01_03_2020,1.06,1.08,0,0,0.91,0
5201004020666,01_03_2020,1.45,1.46,0,0,1.25,0
5201004031747,01_03_2020,1.04,1.05,0,0,1.08,0
5201004021328,01_03_2020,1.27,1.28,0,0,1.3,0
7622300336738,01_03_2020,0.88,1.1,0,0,0.89,0
5201004020840,01_03_2020,1.51,1.53,0,0,1.3,0
5201004040480,01_03_2020,2.42,3.06,0,0,2.73,0
5203064045191,01_03_2020,0.0,0.0,0,0,2.19,0
5201004022165,01_03_2020,1.48,1.2,0,0,1.49,0
5203064007175,01_03_2020,0.88,0.0,0,0,0.91,0
5201004020208,01_03_2020,1.68,1.7,0,0,1.7,0
5201028094209,01_03_2020,1.77,1.79,0,0,1.77,0
5201028094407,01_03_2020,2.77,2.79,0,0,2.54,0
5201028091109,01_03_2020,1.85,1.88,0,0,1.87,0
5201028092403,01_03_2020,1.86,1.88,0,0,1.87,0
5201028540508,01_03_2020,3.62,2.76,0,0,2.58,0
4005808245987,01_03_2020,4.87,0.0,0,0,3.1,0
5202795120047,01_03_2020,15.68,15.82,0,0,15.86,0
5201673001850,01_03_2020,1.78,1.44,0,0,1.35,0
5201673001867,01_03_2020,1.88,1.52,0,0,1.43,0
5201485008573,01_03_2020,1.71,1.93,0,0,1.63,0
5201004059178,01_03_2020,2.19,1.78,0,0,1.71,0
5201673001645,01_03_2020,1.91,2.04,0,0,2.56,0
5201004059093,01_03_2020,1.88,1.71,0,0,1.67,0
5202265000060,01_03_2020,2.12,0.0,0,0,0.0,0
5201004059123,01_03_2020,1.97,1.6,0,0,1.57,0
5740900837317,01_03_2020,3.6,3.65,0,0,3.38,0
5740900401662,01_03_2020,2.94,2.98,0,0,2.95,0
5201501001007,01_03_2020,4.11,4.15,0,0,4.13,0
5201415200350,01_03_2020,2.91,2.94,0,0,2.93,0
5201583086114,01_03_2020,0.98,1.0,0,0,0.75,0
8004030381681,01_03_2020,6.87,5.55,0,0,5.01,0
8004030357532,01_03_2020,6.83,5.55,0,0,4.96,0
8004030344938,01_03_2020,5.55,5.03,0,0,5.51,0
5201340002357,01_03_2020,3.83,0.0,0,0,3.88,0
8004030341562,01_03_2020,5.54,4.75,0,0,5.51,0
5201340000025,01_03_2020,1.46,1.47,0,0,1.47,0
5201340000018,01_03_2020,1.46,1.47,0,0,1.47,0
5201340011106,01_03_2020,5.71,5.76,0,0,5.75,0
7613031526406,01_03_2020,5.46,0.0,0,0,0.0,0
7622300465414,01_03_2020,5.34,0.0,0,0,5.36,0
5011546498423,01_03_2020,4.86,4.92,0,0,4.71,0
5201024807421,01_03_2020,3.56,3.64,0,0,3.52,0
7613034152381,01_03_2020,1.86,3.14,0,0,3.13,0
5000108022824,01_03_2020,2.35,2.38,0,0,2.29,0
4003994150245,01_03_2020,2.74,3.96,0,0,3.94,0
3387390331523,01_03_2020,3.17,3.2,0,0,1.86,0
3387390331509,01_03_2020,3.09,3.15,0,0,1.9,0
3387390325911,01_03_2020,3.03,5.1,0,0,5.09,0
7613031467303,01_03_2020,2.11,3.63,0,0,3.62,0
3387390326468,01_03_2020,2.12,3.63,0,0,3.62,0
3387395326579,01_03_2020,3.38,3.42,0,0,2.04,0
3387390324037,01_03_2020,2.12,3.57,0,0,3.55,0
3387390325720,01_03_2020,3.79,3.82,0,0,3.57,0
5201024807445,01_03_2020,3.59,3.64,0,0,3.54,0
3387390331530,01_03_2020,3.4,3.42,0,0,3.33,0
7613033182808,01_03_2020,3.03,5.12,0,0,5.18,0
5201024807490,01_03_2020,3.61,3.64,0,0,3.52,0
3387390320008,01_03_2020,1.83,3.08,0,0,2.78,0
5050083190612,01_03_2020,4.53,0.0,0,0,4.58,0
5000127061828,01_03_2020,3.95,3.98,0,0,2.56,0
8710100103410,01_03_2020,2.94,2.96,0,0,2.95,0
5050083282669,01_03_2020,4.09,0.0,0,0,4.17,0
5050083268328,01_03_2020,3.81,0.0,0,0,2.5,0
7613032187149,01_03_2020,2.1,3.57,0,0,3.41,0
5201168215649,01_03_2020,4.72,4.8,0,0,4.29,0
5201125003609,01_03_2020,2.95,2.98,0,0,2.87,0
5201415201616,01_03_2020,4.15,4.19,0,0,4.18,0
4000339697908,01_03_2020,2.03,2.05,0,0,2.04,0
